date,open,high,low,close
2009-11-26,4184.7,4195.35,4112.8,4121.35
2009-11-27,4033.05,4075.85,3967.05,4069.05
2009-11-30,4132.6,4166.95,4124.5,4145.45
2009-12-01,4176.15,4220.15,4176.15,4216.4
2009-12-02,4247.5,4249.3,4218.15,4224.1
2009-12-03,4245.8,4276.95,4229.7,4247.15
2009-12-04,4224.2,4271.55,4220.9,4238.85
2009-12-07,4243.95,4253.85,4190.55,4199.7
2009-12-08,4209.65,4256.85,4201.95,4255.0
2009-12-09,4234.1,4271.15,4230.15,4238.7
2009-12-10,4242.85,4266.75,4233.05,4258.25
2009-12-11,4291.2,4294.05,4222.95,4242.9
2009-12-14,4241.2,4263.25,4221.65,4231.35
2009-12-15,4243.2,4244.4,4161.7,4173.15
2009-12-16,4169.15,4191.75,4146.6,4177.3
2009-12-17,4177.25,4201.75,4168.9,4189.45
2009-12-18,4174.15,4197.35,4147.55,4153.05
2009-12-21,4159.3,4169.4,4128.0,4132.35
2009-12-22,4154.6,4174.75,4150.5,4168.6
2009-12-23,4189.0,4277.85,4189.0,4274.85
2009-12-24,4300.0,4314.6,4273.1,4300.35
2009-12-29,4313.45,4327.25,4304.75,4310.25
2009-12-30,4318.05,4321.6,4298.85,4306.85
2009-12-31,4334.4,4346.4,4322.15,4329.1
2010-01-04,4343.1,4372.3,4334.95,4367.65
2010-01-05,4406.5,4422.9,4396.7,4416.05
2010-01-06,4430.05,4438.65,4405.55,4422.65
2010-01-07,4431.0,4435.0,4399.0,4411.55
2010-01-08,4415.5,4436.15,4397.7,4405.3
2010-01-11,4439.8,4452.05,4423.4,4432.5
2010-01-12,4442.2,4449.85,4385.0,4391.7
2010-01-13,4364.35,4418.9,4361.9,4415.6
2010-01-14,4440.45,4462.2,4439.15,4450.45
2010-01-15,4468.3,4482.55,4453.95,4468.15
2010-01-18,4462.3,4508.2,4461.85,4499.6
2010-01-19,4506.65,4524.3,4463.75,4469.3
2010-01-20,4499.95,4502.4,4439.45,4453.65
2010-01-21,4436.9,4445.4,4336.55,4343.25
2010-01-22,4254.55,4331.7,4209.1,4310.75
2010-01-25,4283.55,4306.2,4268.6,4278.55
2010-01-27,4239.85,4260.05,4109.35,4125.5
2010-01-28,4173.2,4197.15,4113.4,4137.5
2010-01-29,4095.9,4163.9,4047.1,4156.05
2010-02-01,4130.45,4211.5,4127.0,4196.3
2010-02-02,4238.45,4242.75,4129.2,4138.25
2010-02-03,4173.3,4223.85,4171.4,4212.1
2010-02-04,4206.55,4208.35,4131.7,4139.7
2010-02-05,4029.65,4055.6,4004.95,4023.65
2010-02-06,4059.05,4076.9,4048.7,4066.85
2010-02-08,4066.65,4096.5,4009.55,4067.3
2010-02-09,4069.45,4110.4,4056.7,4104.0
